,DinoJumpVelocity,DinoJumping,DinoJumpspotX,DinoMidair,DinoMinJumpHeight,DinoReachedMinHeight,DinoSpeedDrop,DinoSpritePosX,DinoSpritePosY,DinoStatus,DinoXPos,DinoYPos,ObstacleDimHeight_0,ObstacleDimHeight_1,ObstacleDimHeight_2,ObstacleDimWidth_0,ObstacleDimWidth_1,ObstacleDimWidth_2,ObstacleGapCoefficient_0,ObstacleGapCoefficient_1,ObstacleGapCoefficient_2,ObstacleGap_0,ObstacleGap_1,ObstacleGap_2,ObstacleSpritePosX_0,ObstacleSpritePosX_1,ObstacleSpritePosX_2,ObstacleSpritePosY_0,ObstacleSpritePosY_1,ObstacleSpritePosY_2,ObstacleTypeConfigHeight_0,ObstacleTypeConfigHeight_1,ObstacleTypeConfigHeight_2,ObstacleTypeConfigMinGap_0,ObstacleTypeConfigMinGap_1,ObstacleTypeConfigMinGap_2,ObstacleTypeConfigMinSpeed_0,ObstacleTypeConfigMinSpeed_1,ObstacleTypeConfigMinSpeed_2,ObstacleTypeConfigMultipleSpeed_0,ObstacleTypeConfigMultipleSpeed_1,ObstacleTypeConfigMultipleSpeed_2,ObstacleTypeConfigType_0,ObstacleTypeConfigType_1,ObstacleTypeConfigType_2,ObstacleTypeConfigWidth_0,ObstacleTypeConfigWidth_1,ObstacleTypeConfigWidth_2,ObstacleTypeConfigYPos_0,ObstacleTypeConfigYPos_1,ObstacleTypeConfigYPos_2,ObstacleWidth_0,ObstacleWidth_1,ObstacleWidth_2,ObstacleXPos_0,ObstacleXPos_1,ObstacleXPos_2,ObstacleYPos_0,ObstacleYPos_1,ObstacleYPos_2,RunnerCurrentSpeed,frame_ts,key_pressed,key_event_type
28,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.2990000000001,1549808473.10537,40,Down
29,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3010000000001005,1549808473.125368,,
30,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.303000000000101,1549808473.1444921,,
31,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.305000000000102,1549808473.162605,,
32,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3070000000001025,1549808473.180864,,
33,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.309000000000103,1549808473.1985989,,
34,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3130000000001045,1549808473.216793,,
35,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.315000000000105,1549808473.234466,,
36,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.317000000000106,1549808473.251913,,
37,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3190000000001065,1549808473.269651,,
38,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.321000000000107,1549808473.287723,,
